,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/balanced_batch,config/batch_size,config/beta_loss,config/drop_rate,config/lr,config/optimizer,logdir
0,0.886000,15.184311,False,,,231,87825b1f742446608112dfee41d2e7e6,2021-10-01_03-08-31,1633068511,1848.569587,1483247,deepsleep,172.17.28.75,1848.569587,0,231,afd4e_00000,False,70,4.600307,0.250000,0.000242,SGD,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00000
1,0.946000,16.149955,False,,,105,13f8452572fa49bcbd2b1b7639cf8ba8,2021-10-01_02-52-08,1633067528,864.951152,1483245,deepsleep,172.17.28.75,864.951152,0,105,afd4e_00001,False,70,0.008701,0.250000,0.010215,AdamW,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00001
2,0.890000,16.122400,False,,,63,8e5b1bfc96994402b82c8bb5398f6bd1,2021-10-01_02-46-41,1633067201,538.499877,1483238,deepsleep,172.17.28.75,538.499877,0,63,afd4e_00002,True,70,0.041951,0.750000,0.002140,SGD,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00002
3,0.908000,27.685812,False,,,21,7a20fa46cc984a58a5dd0fc0275875d3,2021-10-01_02-43-11,1633066991,328.304951,1483244,deepsleep,172.17.28.75,328.304951,0,21,afd4e_00003,True,35,0.014239,0.500000,0.065672,SGD,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00003
4,0.820000,19.495041,False,,,1,b549f4f8ba6e4461a95cf3549008fdd6,2021-10-01_02-49-00,1633067340,19.495041,1483242,deepsleep,172.17.28.75,19.495041,0,1,afd4e_00004,False,70,0.038973,0.750000,0.039361,AdamW,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00004
5,0.906000,10.765199,False,,,37,e5339c008a4b4932911d05a87563961c,2021-10-01_02-56-09,1633067769,228.426000,1483235,deepsleep,172.17.28.75,228.426000,0,37,afd4e_00005,True,140,0.225237,0.500000,0.006014,SGD,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00005
6,0.920000,28.993172,False,,,13,d197d6457221437ea643483d338b56b2,2021-10-01_03-06-07,1633068367,235.912916,1483240,deepsleep,172.17.28.75,235.912916,0,13,afd4e_00006,True,35,0.003781,0.250000,0.011468,AdamW,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00006
7,0.850000,15.979671,False,,,65,4d22f36f4a0c4da993ab9ead3449dcec,2021-10-01_03-12-14,1633068734,528.523546,1483241,deepsleep,172.17.28.75,528.523546,0,65,afd4e_00007,False,70,8.796410,0.750000,0.017559,AdamW,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00007
8,0.648000,13.615481,False,,,1,d0ff68a3dce84262932978246330c030,2021-10-01_03-03-40,1633068220,13.615481,1483237,deepsleep,172.17.28.75,13.615481,0,1,afd4e_00008,False,140,0.017357,0.500000,0.053185,AdamW,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00008
9,0.842000,29.045146,False,,,29,f66c262c24f442a18b13cc271661eb76,2021-10-01_03-11-37,1633068697,460.718983,1483236,deepsleep,172.17.28.75,460.718983,0,29,afd4e_00009,True,35,0.000262,0.500000,0.056310,AdamW,/home/rvidal/hyperparams/Supervised_Cross_Entropy/id_afd4e_00009
