,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/drop_rate,config/image_size,config/lr,config/optimizer,config/with_features,logdir
0,0.920000,34.472599,False,,,5,b8ab8cc46a1d448b824a96bd1ec327cf,2021-11-09_12-55-59,1636473359,198.164097,385273,deeptime,172.17.28.76,198.164097,0,5,0e7f58c0,0,False,True,60,0.003945,0.500000,21,0.010041,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_0e7f58c0
1,0.920000,34.571320,False,,,6,72e732a5504d444e9c44aacf79e7d4bf,2021-11-09_12-56-36,1636473396,234.427279,385255,deeptime,172.17.28.76,234.427279,0,6,0e7f58c1,1,False,True,60,0.003945,0.500000,21,0.010041,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_0e7f58c1
2,0.914000,34.992473,False,,,5,bd18968c12494ceaac02192c0b8a98e2,2021-11-09_13-39-48,1636475988,201.067692,385266,deeptime,172.17.28.76,201.067692,0,5,0e7f58c2,2,False,True,60,0.003945,0.500000,21,0.010041,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_0e7f58c2
3,0.912000,34.843441,False,,,4,ab995d5100b845f7b95e29638b064281,2021-11-09_13-39-43,1636475983,167.000980,385254,deeptime,172.17.28.76,167.000980,0,4,2b96cf96,3,False,True,60,0.003945,0.500000,21,0.010041,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_2b96cf96
4,0.912000,34.588299,False,,,8,11a4e66a1a934be58d55e616d6b967ab,2021-11-09_14-25-48,1636478748,297.052694,385256,deeptime,172.17.28.76,297.052694,0,8,3d519176,4,False,True,60,0.003945,0.500000,21,0.010041,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_3d519176
5,0.888000,82.722353,False,,,5,519acfac1345458d9b01ed632bc7afee,2021-11-09_14-28-06,1636478886,418.523904,385265,deeptime,172.17.28.76,418.523904,0,5,5f87d998,0,False,False,15,0.001716,0.500000,21,0.009740,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_5f87d998
6,0.892000,79.803275,False,,,6,e1c5f8ae1a5c4fe48ef1da9197a7a66f,2021-11-09_15-13-17,1636481597,480.576025,385267,deeptime,172.17.28.76,480.576025,0,6,69cf1678,1,False,False,15,0.001716,0.500000,21,0.009740,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_69cf1678
7,0.886000,77.992728,False,,,3,489dca75258d4502a71c435959160292,2021-11-09_16-05-45,1636484745,239.396095,385253,deeptime,172.17.28.76,239.396095,0,3,94701fac,2,False,False,15,0.001716,0.500000,21,0.009740,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_94701fac
8,0.906000,66.657397,False,,,8,64d577008c2f491f97d07495673a834e,2021-11-09_16-56-06,1636487766,609.165406,385264,deeptime,172.17.28.76,609.165406,0,8,781fac66,3,False,False,15,0.001716,0.500000,21,0.009740,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_781fac66
9,0.894000,68.638631,False,,,4,74d05d1548e847cab386a904d16a1199,2021-11-09_17-36-45,1636490205,276.811470,385258,deeptime,172.17.28.76,276.811470,0,4,a4b41248,4,False,False,15,0.001716,0.500000,21,0.009740,AdamW,True,/home/rvidal/hyperparameter_tuning/CE/id_a4b41248
