,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/image_size,config/lr,config/optimizer,config/with_features,logdir
0,0.892000,22.727016,False,,,24,77b11772b7e6453c99ab01a79fc784fe,2022-05-08_19-20-42,1652052042,560.130217,3318126,deepsleep,172.17.28.75,560.130217,0,24,29ee48e0,0,rotation_v3,False,75,0.500000,27,0.001000,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_29ee48e0
1,0.886000,24.045685,False,,,35,66ec81fb285f4569935bcdbeb9ba5903,2022-05-08_19-25-03,1652052303,821.477626,3318116,deepsleep,172.17.28.75,821.477626,0,35,29ee48e1,1,rotation_v3,False,75,0.500000,27,0.001000,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_29ee48e1
2,0.880000,21.842414,False,,,29,396cda5f20ee4b1d8f9da9d044355bc1,2022-05-08_19-58-30,1652054310,655.995781,3318121,deepsleep,172.17.28.75,655.995781,0,29,29ee48e2,2,rotation_v3,False,75,0.500000,27,0.001000,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_29ee48e2
3,0.896000,51.650861,False,,,58,53b6c71a7b4e4a7aa7a47549f1cb8874,2022-05-08_20-43-17,1652056997,3071.427624,3318119,deepsleep,172.17.28.75,3071.427624,0,58,37eb54ce,0,rotation_v3,False,30,0.000139,63,0.001874,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_37eb54ce
4,0.890000,51.764782,False,,,14,e30ab8b4222c4b9d85a71d3f3620730c,2022-05-08_20-36-14,1652056574,730.185020,3318125,deepsleep,172.17.28.75,730.185020,0,14,d9f45e6e,1,rotation_v3,False,30,0.000139,63,0.001874,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_d9f45e6e
5,0.892000,52.239085,False,,,58,2020dcbbb7e742fba412dc881af01f5b,2022-05-08_22-26-32,1652063192,3011.247848,3318128,deepsleep,172.17.28.75,3011.247848,0,58,511e2638,2,rotation_v3,False,30,0.000139,63,0.001874,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_511e2638
6,0.902000,36.921759,False,,,38,9ed0abc949cc4fc1863e480be4142288,2022-05-08_22-07-33,1652062053,1415.614185,3318124,deepsleep,172.17.28.75,1415.614185,0,38,6a9731ae,0,rotation_v3,False,45,0.472443,63,0.000676,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_6a9731ae
7,0.898000,37.705661,False,,,76,171e4e071c204bc8b363e97ca249b861,2022-05-08_23-38-01,1652067481,2836.818613,3318123,deepsleep,172.17.28.75,2836.818613,0,76,7ac1c73c,1,rotation_v3,False,45,0.472443,63,0.000676,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_7ac1c73c
8,0.902000,37.084126,False,,,49,0d4f6aff92e74074b2a7475a5f0ff18c,2022-05-08_23-57-32,1652068652,1822.778196,3318122,deepsleep,172.17.28.75,1822.778196,0,49,cf11ac9a,2,rotation_v3,False,45,0.472443,63,0.000676,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_cf11ac9a
9,0.884000,48.515251,False,,,52,388fb6b522084bcfb3454d27fe0ba164,2022-05-09_01-04-36,1652072676,2558.991058,3318118,deepsleep,172.17.28.75,2558.991058,0,52,e542c5d0,0,rotation_v3,False,30,0.002380,27,0.000078,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_e542c5d0
10,0.880000,48.605158,False,,,45,23a43a6ec48d43ada196d4fa20d807b7,2022-05-09_01-17-15,1652073435,2198.253888,3318120,deepsleep,172.17.28.75,2198.253888,0,45,8cf6ccc0,1,rotation_v3,False,30,0.002380,27,0.000078,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_8cf6ccc0
11,0.882000,49.255918,False,,,16,cccc7f871e87439c96d43d0025ad73c1,2022-05-09_02-14-31,1652076871,786.287714,3318117,deepsleep,172.17.28.75,786.287714,0,16,28a12614,2,rotation_v3,False,30,0.002380,27,0.000078,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_28a12614
12,0.886000,95.867965,False,,,52,38dfc04d10964446951bac04b7e38745,2022-05-09_03-37-35,1652081855,5011.637609,3476835,deepsleep,172.17.28.75,5011.637609,0,52,71ff463c,0,rotation_v3,False,15,0.008032,27,0.000427,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_71ff463c
13,0.890000,97.010435,False,,,78,28ae07fffae1476a9161cae222af8e03,2022-05-09_05-17-09,1652087829,7561.819895,3490309,deepsleep,172.17.28.75,7561.819895,0,78,35f49e2e,1,rotation_v3,False,15,0.008032,27,0.000427,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_35f49e2e
14,0.888000,96.393476,False,,,50,01fdd0747ee3476cb47de0362a596e85,2022-05-09_06-50-31,1652093431,4804.005117,3512741,deepsleep,172.17.28.75,4804.005117,0,50,2f12e5ae,2,rotation_v3,False,15,0.008032,27,0.000427,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_2f12e5ae
15,0.896000,30.161071,False,,,68,c1ef31ea0dcf49ca9ea843e090b4783c,2022-05-09_07-44-28,1652096668,2052.002787,3529132,deepsleep,172.17.28.75,2052.002787,0,68,a5ac8874,0,rotation_v3,False,60,0.012609,63,0.000105,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_a5ac8874
16,0.894000,30.572731,False,,,21,4462f88ec86a4b8da2444506620cca0d,2022-05-09_08-30-11,1652099411,632.578113,3551786,deepsleep,172.17.28.75,632.578113,0,21,97babb42,1,rotation_v3,False,60,0.012609,63,0.000105,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_97babb42
17,0.888000,30.869164,False,,,33,32160ad174dd4264afb1e38406c35871,2022-05-09_09-01-27,1652101287,1027.608206,3559974,deepsleep,172.17.28.75,1027.608206,0,33,4857eaca,2,rotation_v3,False,60,0.012609,63,0.000105,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_4857eaca
18,0.894000,37.341804,False,,,105,16d8bf4a3bc047c3bb0cd0a48bf383a1,2022-05-09_10-11-54,1652105514,3959.698854,3570345,deepsleep,172.17.28.75,3959.698854,0,105,b6e64cea,0,rotation_v3,False,45,0.024544,63,0.001059,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_b6e64cea
19,0.892000,37.478401,False,,,16,9bafb6093d9f4928a1c268512156fa42,2022-05-09_09-47-18,1652104038,604.477219,3584149,deepsleep,172.17.28.75,604.477219,0,16,be8e92ba,1,rotation_v3,False,45,0.024544,63,0.001059,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_be8e92ba
20,0.902000,36.632897,False,,,95,4c3bc6c320ea4d6192a4746efb5d4b6b,2022-05-09_11-29-30,1652110170,3511.162912,3605589,deepsleep,172.17.28.75,3511.162912,0,95,1ea9d868,2,rotation_v3,False,45,0.024544,63,0.001059,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_1ea9d868
21,0.904000,98.836030,False,,,16,ecd873a19a764d50bc4ea7593a2dee53,2022-05-09_11-22-03,1652109723,1586.589032,3615454,deepsleep,172.17.28.75,1586.589032,0,16,a1b5f456,0,rotation_v3,False,15,0.087069,63,0.000207,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_a1b5f456
22,0.894000,98.170686,False,,,40,f84adbe1bd514012a127def946763037,2022-05-09_13-17-42,1652116662,3926.937295,3637083,deepsleep,172.17.28.75,3926.937295,0,40,12154cbc,1,rotation_v3,False,15,0.087069,63,0.000207,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_12154cbc
23,0.896000,98.600956,False,,,74,60af1f8ac85147bc9db306d592af32a7,2022-05-09_15-18-17,1652123897,7289.891432,3647716,deepsleep,172.17.28.75,7289.891432,0,74,c734b466,2,rotation_v3,False,15,0.087069,63,0.000207,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_c734b466
