,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/astro_augmentation,config/batch_size_classifier,config/batch_size_encoder,config/beta_loss,config/encoder_name,config/image_size,config/lr_classifier,config/lr_encoder,config/method,config/optimizer_classifier,config/optimizer_encoder,config/projection_dim,config/temperature,config/with_features,logdir
0,0.872000,65.377420,False,,,216,2b71f630099b4c4aa6679ed7bc45a1f6,2021-11-15_00-49-22,1636948162,15615.221033,3296936,deeptime,172.17.28.76,15615.221033,0,216,a5321434,0,False,70,350,0.007958,pstamps,21,0.007120,0.002228,supcon,SGD,SGD,100,5.185274,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_a5321434
1,0.872000,65.953808,False,,,210,4629101af4084666ae7962634fe47a39,2021-11-15_00-39-25,1636947565,15018.101967,3296931,deeptime,172.17.28.76,15018.101967,0,210,a5321435,1,False,70,350,0.007958,pstamps,21,0.007120,0.002228,supcon,SGD,SGD,100,5.185274,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_a5321435
2,0.872000,62.001469,False,,,218,58036524c3394ad9861afec8230545fc,2021-11-15_00-43-49,1636947829,15282.295008,3296940,deeptime,172.17.28.76,15282.295008,0,218,a5321436,2,False,70,350,0.007958,pstamps,21,0.007120,0.002228,supcon,SGD,SGD,100,5.185274,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_a5321436
3,0.870000,63.098631,False,,,213,4356a4f66e1446cca134cdeec1a76b21,2021-11-15_00-37-20,1636947440,14892.927290,3296934,deeptime,172.17.28.76,14892.927290,0,213,a5321437,3,False,70,350,0.007958,pstamps,21,0.007120,0.002228,supcon,SGD,SGD,100,5.185274,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_a5321437
4,0.880000,68.839115,False,,,119,ea1896553e5e4774a141656013d87407,2021-11-15_04-39-43,1636961983,8054.693703,3296933,deeptime,172.17.28.76,8054.693703,0,119,a5321438,0,False,70,350,0.037930,resnet18,21,0.007120,0.004283,simclr,SGD,AdamW,100,0.119620,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_a5321438
5,0.880000,72.486312,False,,,159,87493923d8bb45daa5c1b03c09297188,2021-11-15_05-29-25,1636964965,10626.973343,3296930,deeptime,172.17.28.76,10626.973343,0,159,6a019434,1,False,70,350,0.037930,resnet18,21,0.007120,0.004283,simclr,SGD,AdamW,100,0.119620,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_6a019434
6,0.878000,72.535072,False,,,120,8934540463a74c4f86577095657e554d,2021-11-15_05-02-13,1636963333,8935.321708,3296929,deeptime,172.17.28.76,8935.321708,0,120,5e292a36,2,False,70,350,0.037930,resnet18,21,0.007120,0.004283,simclr,SGD,AdamW,100,0.119620,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_5e292a36
7,0.880000,75.691304,False,,,111,29bd06803ef347778c3843dd3b606bae,2021-11-15_05-02-07,1636963327,8303.556958,3296938,deeptime,172.17.28.76,8303.556958,0,111,826ff226,3,False,70,350,0.037930,resnet18,21,0.007120,0.004283,simclr,SGD,AdamW,100,0.119620,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_826ff226
8,0.880000,52.598332,False,,,182,beeabe9765d348fe91033aaba6ea9eea,2021-11-15_09-31-31,1636979491,10715.666336,3296939,deeptime,172.17.28.76,10715.666336,0,182,f6c57000,0,False,70,500,0.016635,resnet18,21,0.007120,0.000704,simclr,SGD,AdamW,100,0.000503,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_f6c57000
9,0.894000,50.909132,False,,,471,6ac1c8c29334445dae44c9b5ba9a7bb6,2021-11-15_14-54-24,1636998864,28066.062863,3296932,deeptime,172.17.28.76,28066.062863,0,471,f8581592,1,False,70,500,0.016635,resnet18,21,0.007120,0.000704,simclr,SGD,AdamW,100,0.000503,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_f8581592
