,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/drop_rate,config/image_size,config/lr,config/optimizer,config/with_features,mean,std
0,False,False,15,0.001716,0.500000,21,0.009740,AdamW,True,0.893200,0.007823
1,False,False,15,0.002221,0.800000,21,0.000490,LARS,True,0.906400,0.004980
2,False,False,15,0.018246,0.200000,21,0.000470,LARS,True,0.914800,0.004147
3,False,False,15,0.037448,0.200000,21,0.030510,AdamW,True,0.324000,0.277272
4,False,False,15,0.045652,0.500000,21,0.001010,SGD,True,0.914400,0.002966
5,False,False,15,0.521599,0.800000,21,0.000720,LARS,True,0.900800,0.004382
6,False,False,30,0.000210,0.200000,21,0.000183,LARS,True,0.908800,0.005215
7,False,False,30,0.016368,0.500000,21,0.046536,AdamW,True,0.200000,0.000000
8,False,False,30,0.175401,0.200000,21,0.001547,SGD,True,0.918800,0.004147
9,False,False,45,0.005134,0.200000,21,0.004598,AdamW,True,0.948400,0.003578
10,False,False,45,7.945556,0.200000,21,0.000121,AdamW,True,0.920800,0.004382
11,False,False,60,0.007612,0.200000,21,0.016702,AdamW,True,0.911200,0.012458
12,False,False,60,0.008466,0.200000,21,0.096408,SGD,True,0.934800,0.004147
13,False,False,60,0.081368,0.200000,21,0.004807,AdamW,True,0.948400,0.005177
14,False,False,60,0.098895,0.200000,21,0.003083,AdamW,True,0.952000,0.003162
15,False,False,60,0.106101,0.200000,21,0.004303,AdamW,True,0.947600,0.004336
16,False,False,60,0.132027,0.200000,21,0.013120,SGD,True,0.920000,0.004000
17,False,False,60,0.161682,0.200000,21,0.003032,AdamW,True,0.950400,0.005367
18,False,False,60,3.428368,0.200000,21,0.000282,SGD,True,0.906000,0.005291
19,False,False,60,7.912309,0.500000,21,0.008194,AdamW,True,0.930800,0.002683
20,False,False,75,0.759311,0.200000,21,0.004679,AdamW,True,0.951200,0.004604
21,False,False,75,1.258811,0.200000,21,0.002471,AdamW,True,0.949600,0.003286
22,False,False,75,1.656017,0.200000,21,0.001167,AdamW,True,0.947600,0.008414
23,False,True,15,0.000369,0.500000,21,0.006616,LARS,True,0.913600,0.007537
24,False,True,15,0.047247,0.800000,21,0.001800,AdamW,True,0.878000,0.008602
25,False,True,15,0.224433,0.500000,21,0.003224,AdamW,True,0.932800,0.004147
26,False,True,15,3.669949,0.200000,21,0.024717,AdamW,True,0.880800,0.003033
27,False,True,45,0.019375,0.200000,21,0.000345,LARS,True,0.912000,0.006782
28,False,True,60,0.000146,0.500000,21,0.000547,LARS,True,0.908000,0.003162
29,False,True,60,0.003945,0.500000,21,0.010041,AdamW,True,0.915600,0.004099
30,False,True,60,0.347081,0.800000,21,0.024175,LARS,True,0.896000,0.009487
31,False,True,60,2.866357,0.800000,21,0.013459,SGD,True,0.902000,0.005099
32,False,True,75,0.000429,0.800000,21,0.006771,LARS,True,0.900800,0.007823
33,False,True,75,0.001831,0.200000,21,0.057864,AdamW,True,0.200000,0.000000
34,False,True,75,0.512975,0.200000,21,0.001503,AdamW,True,0.951200,0.001789
