,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/image_size,config/lr,config/optimizer,config/with_features,mean,std
0,rotation_v3,False,15,0.008032,27,0.000427,AdamW,False,0.888000,0.002000
1,rotation_v3,False,15,0.087069,63,0.000207,AdamW,False,0.898000,0.005292
2,rotation_v3,False,15,0.190545,27,0.004049,AdamW,False,0.870000,0.005292
3,rotation_v3,False,30,0.000139,63,0.001874,AdamW,False,0.892667,0.003055
4,rotation_v3,False,30,0.000299,27,0.000356,AdamW,False,0.892000,0.002000
5,rotation_v3,False,30,0.000454,63,0.000102,AdamW,False,0.892667,0.009866
6,rotation_v3,False,30,0.001324,63,0.001531,AdamW,False,0.902667,0.009866
7,rotation_v3,False,30,0.002380,27,0.000078,AdamW,False,0.882000,0.002000
8,rotation_v3,False,30,0.860430,63,0.000886,AdamW,False,0.896667,0.004619
9,rotation_v3,False,45,0.000282,63,0.001673,AdamW,False,0.895333,0.004163
10,rotation_v3,False,45,0.024544,63,0.001059,AdamW,False,0.896000,0.005292
11,rotation_v3,False,45,0.026375,27,0.002675,AdamW,False,0.886000,0.002000
12,rotation_v3,False,45,0.472443,63,0.000676,AdamW,False,0.900667,0.002309
13,rotation_v3,False,45,0.933863,27,0.000210,AdamW,False,0.882667,0.001155
14,rotation_v3,False,60,0.000225,27,0.000481,AdamW,False,0.884667,0.006110
15,rotation_v3,False,60,0.000443,27,0.000290,AdamW,False,0.888667,0.004163
16,rotation_v3,False,60,0.012609,63,0.000105,AdamW,False,0.892667,0.004163
17,rotation_v3,False,60,0.095035,63,0.000738,AdamW,False,0.898667,0.001155
18,rotation_v3,False,75,0.001989,63,0.000128,AdamW,False,0.892000,0.002000
19,rotation_v3,False,75,0.500000,27,0.001000,AdamW,False,0.886000,0.006000
