,config/astro_augmentation,config/batch_size_classifier,config/batch_size_encoder,config/beta_loss,config/encoder_name,config/image_size,config/lr_classifier,config/lr_encoder,config/method,config/optimizer_classifier,config/optimizer_encoder,config/projection_dim,config/temperature,config/with_features,mean,std
0,False,70,350,0.000413,pstamps,21,0.007120,2.443992,supcon,SGD,SGD,100,0.007295,True,0.871500,0.005508
1,False,70,350,0.000794,pstamps,21,0.007120,9.939129,supcon,SGD,SGD,100,0.509390,True,0.914500,0.001915
2,False,70,350,0.000887,pstamps,21,0.007120,9.397029,supcon,SGD,LARS,100,0.459976,True,0.915000,0.003464
3,False,70,350,0.000910,pstamps,21,0.007120,5.170353,supcon,SGD,SGD,100,0.616445,True,0.907000,0.011605
4,False,70,350,0.001536,pstamps,21,0.007120,1.034908,supcon,SGD,LARS,100,0.082269,True,0.912000,0.005888
5,False,70,350,0.003354,resnet18,21,0.007120,0.007405,simclr,SGD,AdamW,100,0.063717,True,0.884500,0.002517
6,False,70,350,0.004301,pstamps,21,0.007120,2.370533,supcon,SGD,LARS,100,7.432391,True,0.870500,0.001000
7,False,70,350,0.004871,resnet18,21,0.007120,0.305436,simclr,SGD,SGD,100,0.067550,True,0.892500,0.011475
8,False,70,350,0.007958,pstamps,21,0.007120,0.002228,supcon,SGD,SGD,100,5.185274,True,0.871500,0.001000
9,False,70,350,0.037930,resnet18,21,0.007120,0.004283,simclr,SGD,AdamW,100,0.119620,True,0.879500,0.001000
10,False,70,500,0.000110,resnet18,21,0.007120,0.003627,simclr,SGD,LARS,100,0.020575,True,0.882500,0.005260
11,False,70,500,0.000636,pstamps,21,0.007120,8.806085,supcon,SGD,LARS,100,0.420397,True,0.912500,0.004435
12,False,70,500,0.014634,pstamps,21,0.007120,0.026402,simclr,SGD,SGD,100,0.000143,True,0.865500,0.001915
13,False,70,500,0.016635,resnet18,21,0.007120,0.000704,simclr,SGD,AdamW,100,0.000503,True,0.888000,0.005888
14,True,70,200,0.000157,resnet18,21,0.007120,0.001406,simclr,SGD,LARS,100,0.000354,True,0.885000,0.003464
15,True,70,200,0.000326,resnet18,21,0.007120,0.189679,supcon,SGD,LARS,100,2.931262,True,0.891000,0.008246
16,True,70,200,0.001896,pstamps,21,0.007120,0.194867,supcon,SGD,AdamW,100,0.000471,True,0.365500,0.331000
17,True,70,200,0.001899,pstamps,21,0.007120,1.020648,simclr,SGD,LARS,100,0.000851,True,0.866500,0.004435
18,True,70,200,0.008640,pstamps,21,0.007120,0.060746,simclr,SGD,SGD,100,0.017617,True,0.886000,0.001633
19,True,70,200,0.096739,resnet18,21,0.007120,0.000401,supcon,SGD,AdamW,100,3.192847,True,0.891500,0.005260
20,True,70,350,0.000150,resnet18,21,0.007120,0.027604,supcon,SGD,LARS,100,0.000233,True,0.200000,0.000000
21,True,70,350,0.000327,pstamps,21,0.007120,0.591913,simclr,SGD,LARS,100,0.002726,True,0.873000,0.008718
22,True,70,350,0.002834,resnet18,21,0.007120,0.858078,simclr,SGD,SGD,100,6.384665,True,0.883000,0.001155
23,True,70,350,0.007623,pstamps,21,0.007120,0.007258,simclr,SGD,SGD,100,0.052014,True,0.883000,0.005292
24,True,70,350,0.015738,resnet18,21,0.007120,2.668672,simclr,SGD,SGD,100,0.062566,True,0.889000,0.002000
25,True,70,200,0.001132,pstamps,21,0.007120,0.037161,supcon,SGD,AdamW,100,0.021210,True,0.885500,0.001915
26,True,70,200,0.003577,pstamps,21,0.007120,0.065922,supcon,SGD,AdamW,100,0.274014,True,0.878000,0.008794
27,True,70,350,0.001768,pstamps,21,0.007120,0.000404,supcon,SGD,LARS,100,0.004931,True,0.867500,0.001000
28,True,70,350,0.002231,pstamps,21,0.007120,0.000513,supcon,SGD,AdamW,100,0.009503,True,0.903500,0.006403
29,True,70,350,0.008984,pstamps,21,0.007120,0.242250,supcon,SGD,SGD,100,0.000895,True,0.863500,0.001000
30,True,70,350,0.010319,pstamps,21,0.007120,0.001007,supcon,SGD,AdamW,100,0.006083,True,0.899500,0.011930
31,False,70,200,0.000220,resnet18,21,0.007120,0.195489,supcon,SGD,AdamW,100,0.000213,True,0.200000,0.000000
32,False,70,200,0.005794,resnet18,21,0.007120,2.857292,supcon,SGD,SGD,100,0.049846,True,0.909000,0.004761
33,False,70,350,0.076076,resnet18,21,0.007120,1.643596,supcon,SGD,LARS,100,0.012887,True,0.890500,0.015864
34,False,70,500,0.004408,resnet18,21,0.007120,0.008431,supcon,SGD,AdamW,100,0.034224,True,0.910000,0.002828
35,False,70,500,0.084197,resnet18,21,0.007120,0.027333,supcon,SGD,LARS,100,0.000396,True,0.200000,0.000000
